,Pickup Community Area,Trip ID
0,1,476
1,2,709
2,3,1646
3,4,359
4,5,283
5,6,3769
6,7,2542
7,8,23676
8,9,18
9,10,165
10,11,126
11,12,93
12,13,122
13,14,205
14,15,190
15,16,409
16,17,37
17,18,11
18,19,76
19,20,20
20,21,197
21,22,599
22,23,68
23,24,1265
24,25,209
25,26,31
26,27,84
27,28,8202
28,29,75
29,30,49
30,31,212
31,32,14460
32,33,2492
33,34,293
34,35,570
35,36,206
36,37,161
37,38,500
38,39,421
39,40,124
40,41,690
41,42,255
42,43,466
43,44,421
44,45,68
45,46,177
46,47,20
47,48,114
48,49,205
49,50,116
50,51,139
51,52,40
52,53,147
53,54,57
54,55,73
55,56,2841
56,57,22
57,58,65
58,59,180
59,60,74
60,61,102
61,62,42
62,63,16
63,64,35
64,65,25
65,66,65
66,67,81
67,68,224
68,69,365
69,70,66
70,71,168
71,72,53
72,73,142
73,74,5
74,75,115
75,76,11314
76,77,1148
,,5
,,23676
